reservation_id,user_id,dessert_id,count,total_price,reserve_status,created_dt
1,30,141,1,4.72,CONFIRMED,2026-02-18 08:01:00
2,6217,36,1,17.52,CONFIRMED,2026-02-14 22:36:00
3,53,46,1,14.07,CONFIRMED,2026-02-21 14:09:00
4,89,51,1,23.84,PENDING,2026-02-14 11:59:00
5,1867,46,1,14.07,CONFIRMED,2026-02-14 01:33:00
6,3529,36,1,17.52,CONFIRMED,2026-02-12 05:29:00
7,16,141,1,4.72,CONFIRMED,2026-02-15 09:34:00
8,2049,36,1,17.52,CONFIRMED,2026-02-19 11:39:00
9,50,36,1,17.52,PENDING,2026-02-15 15:53:00
10,9822,36,1,17.52,CONFIRMED,2026-02-24 18:57:00
11,90,141,1,4.72,CONFIRMED,2026-02-12 17:37:00
12,9720,36,1,17.52,CANCELLED,2026-02-14 19:16:00
13,63,36,1,17.52,CONFIRMED,2026-02-20 17:27:00
14,92,36,1,17.52,CONFIRMED,2026-02-19 00:30:00
15,663,166,1,4.27,CONFIRMED,2026-02-13 20:36:00
16,269,166,1,4.27,PENDING,2026-02-15 11:03:00
17,8326,36,1,17.52,PENDING,2026-02-15 22:46:00
18,899,36,1,17.52,CONFIRMED,2026-02-16 19:15:00
19,2767,166,1,4.27,CONFIRMED,2026-02-19 08:16:00
20,1359,36,1,17.52,CONFIRMED,2026-02-24 22:47:00
21,2994,36,1,17.52,CONFIRMED,2026-02-23 04:23:00
22,8184,36,1,17.52,CONFIRMED,2026-02-14 08:03:00
23,95,158,1,27.29,CONFIRMED,2026-02-16 11:12:00
24,90,171,1,15.18,CONFIRMED,2026-02-10 12:20:00
25,6959,36,1,17.52,CONFIRMED,2026-02-16 12:03:00
26,34,176,1,14.18,CONFIRMED,2026-02-19 19:48:00
27,2354,36,1,17.52,CONFIRMED,2026-02-16 05:38:00
28,9045,36,1,17.52,CONFIRMED,2026-02-23 13:36:00
29,9270,36,1,17.52,CONFIRMED,2026-02-21 07:28:00
30,48,141,1,4.72,CONFIRMED,2026-02-23 18:06:00
31,246,141,1,4.72,PENDING,2026-02-20 03:41:00
32,3192,36,1,17.52,CONFIRMED,2026-02-22 08:38:00
33,8971,19,1,16.57,CONFIRMED,2026-02-22 13:14:00
34,1215,46,1,14.07,CONFIRMED,2026-02-23 16:41:00
35,6875,95,1,28.82,CONFIRMED,2026-02-22 03:03:00
36,804,104,1,27.28,CONFIRMED,2026-02-25 05:26:00
37,6503,141,1,4.72,CONFIRMED,2026-02-22 07:40:00
38,8449,170,1,18.27,CONFIRMED,2026-02-11 14:19:00
39,4813,36,1,17.52,CONFIRMED,2026-02-16 10:57:00
40,2485,36,1,17.52,CONFIRMED,2026-02-20 22:35:00
41,5695,166,1,4.27,PENDING,2026-02-20 01:29:00
42,8092,141,1,4.72,CONFIRMED,2026-02-13 15:53:00
43,9920,166,1,4.27,CONFIRMED,2026-02-18 00:30:00
44,5711,166,1,4.27,CONFIRMED,2026-02-24 03:25:00
45,4835,36,1,17.52,PENDING,2026-02-11 00:57:00
46,5811,52,1,7.38,CONFIRMED,2026-02-12 00:34:00
47,4424,171,1,15.18,PENDING,2026-02-21 15:05:00
48,99,36,1,17.52,CONFIRMED,2026-02-14 23:40:00
49,3450,166,1,4.27,CONFIRMED,2026-02-23 08:00:00
50,4148,141,1,4.72,CONFIRMED,2026-02-12 00:30:00
51,8243,36,1,17.52,PENDING,2026-02-14 02:46:00
52,5694,166,1,4.27,CANCELLED,2026-02-21 07:46:00
53,6541,36,1,17.52,PENDING,2026-02-11 03:19:00
54,9122,36,1,17.52,CONFIRMED,2026-02-15 21:39:00
55,55,36,1,17.52,CONFIRMED,2026-02-23 19:45:00
56,18,36,1,17.52,CONFIRMED,2026-02-13 10:09:00
57,14,36,1,17.52,PENDING,2026-02-13 08:44:00
58,3457,171,1,15.18,CONFIRMED,2026-02-25 11:40:00
59,4642,36,1,17.52,CONFIRMED,2026-02-21 14:54:00
60,9155,36,1,17.52,CONFIRMED,2026-02-24 17:07:00
61,2916,101,1,28.96,CONFIRMED,2026-02-21 17:31:00
62,1594,166,1,4.27,CONFIRMED,2026-02-20 19:25:00
